Parcelas,Id-plot,tratamento,total_plantulas,dossel
CBO,CBO_p01o,open,88,67.39
CBO,CBO_p01c,closed,44,72.22
CBO,CBO_p02o,open,36,66.94
CBO,CBO_p02c,closed,32,65.92
CBO,CBO_p04o,open,21,64.56
CBO,CBO_p04c,closed,27,67.88
CBO,CBO_p05o,open,15,77.31
CBO,CBO_p05c,closed,26,72.43
CBO,CBO_p06o,open,54,70.09
CBO,CBO_p06c,closed,38,70.62
CBO,CBO_p09o,open,26,69.88
CBO,CBO_p09c,closed,44,70.62
CBO,CBO_p11o,open,49,64.4
CBO,CBO_p11c,closed,52,61.18
CBO,CBO_p12o,open,78,71.97
CBO,CBO_p12c,closed,49,73.2
CBO,CBO_p14o,open,40,68.66
CBO,CBO_p14c,closed,63,73.34
CBO,CBO_p15o,open,34,63.57
CBO,CBO_p15c,closed,44,71.24
CAR,CAR_p01o,open,23,69.22
CAR,CAR_p01c,closed,28,69.69
CAR,CAR_p02o,open,52,80.54
CAR,CAR_p02c,closed,49,80.5
CAR,CAR_p03o,open,14,79.01
CAR,CAR_p03c,closed,36,76.31
CAR,CAR_p04o,open,33,73.19
CAR,CAR_p04c,closed,67,84.76
CAR,CAR_p05o,open,49,84.01
CAR,CAR_p05c,closed,60,80.03
CAR,CAR_p08o,open,66,90.81
CAR,CAR_p08c,closed,109,90.78
CAR,CAR_p09o,open,43,61.89
CAR,CAR_p09c,closed,62,67.76
CAR,CAR_p10o,open,35,72.6
CAR,CAR_p10c,closed,91,72.61
CAR,CAR_p11o,open,35,60.51
CAR,CAR_p11c,closed,76,60.47
CAR,CAR_p12o,open,35,66.59
CAR,CAR_p12c,closed,37,63.35
CAR,CAR_p14o,open,24,67.37
CAR,CAR_p14c,closed,44,66.33
CAR,CAR_p15o,open,10,70.61
CAR,CAR_p15c,closed,50,70.02
ITA,ITA_p01o,open,29,84.55
ITA,ITA_p01c,closed,41,71.38
ITA,ITA_p02o,open,38,84.68
ITA,ITA_p02c,closed,44,84.07
ITA,ITA_p04o,open,19,60.68
ITA,ITA_p04c,closed,38,85.72
ITA,ITA_p06o,open,25,79.38
ITA,ITA_p06c,closed,58,71.67
ITA,ITA_p08o,open,38,64.04
ITA,ITA_p08c,closed,49,71.9
ITA,ITA_p10o,open,6,76.58
ITA,ITA_p10c,closed,34,86.46
ITA,ITA_p12o,open,12,89.59
ITA,ITA_p12c,closed,22,89.68
ITA,ITA_p14o,open,14,82.52
ITA,ITA_p14c,closed,38,91.65
ITA,ITA_p15o,open,18,62.19
ITA,ITA_p15c,closed,38,82.6
VGM,VGM_p01o,open,12,63.82
VGM,VGM_p01c,closed,15,68.03
VGM,VGM_p04o,open,62,69.14
VGM,VGM_p04c,closed,78,67.44
VGM,VGM_p05o,open,32,71.65
VGM,VGM_p05c,closed,87,70.25
VGM,VGM_p06o,open,59,78.2
VGM,VGM_p06c,closed,54,76.3
VGM,VGM_p07o,open,33,69.23
VGM,VGM_p07c,closed,51,74.26
VGM,VGM_p08o,open,33,69.17
VGM,VGM_p08c,closed,68,69.29
VGM,VGM_p09o,open,67,72.41
VGM,VGM_p09c,closed,102,66.78
VGM,VGM_p10o,open,21,72.64
VGM,VGM_p10c,closed,54,73.16
VGM,VGM_p11o,open,45,68.91
VGM,VGM_p11c,closed,70,64.96
VGM,VGM_p12o,open,37,72.53
VGM,VGM_p12c,closed,52,66.27
VGM,VGM_p14o,open,20,71.64
VGM,VGM_p14c,closed,31,64.85
VGM,VGM_p15o,open,23,67.45
VGM,VGM_p15c,closed,48,67.61
